"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 11:01:29 GMT 2022","Mon Jun 20 11:01:35 GMT 2022","6481","test","test_conduit","TestConduit","","","test_modify_data",""
"passed","Mon Jun 20 11:02:20 GMT 2022","Mon Jun 20 11:02:27 GMT 2022","7371","test","test_conduit","TestConduit","","","test_save_data",""
"passed","Mon Jun 20 11:00:57 GMT 2022","Mon Jun 20 11:01:05 GMT 2022","7634","test","test_conduit","TestConduit","","","test_new_data_to_profile",""
"passed","Mon Jun 20 11:00:49 GMT 2022","Mon Jun 20 11:00:54 GMT 2022","4292","test","test_conduit","TestConduit","","","test_go_through_a_multi_page_list",""
"passed","Mon Jun 20 11:00:28 GMT 2022","Mon Jun 20 11:00:30 GMT 2022","2231","test","test_conduit","TestConduit","","","test_login",""
"passed","Mon Jun 20 11:01:39 GMT 2022","Mon Jun 20 11:02:16 GMT 2022","37241","test","test_conduit","TestConduit","","","test_delete_articles",""
"passed","Mon Jun 20 11:00:39 GMT 2022","Mon Jun 20 11:00:46 GMT 2022","6316","test","test_conduit","TestConduit","","","test_logout",""
"passed","Mon Jun 20 11:01:15 GMT 2022","Mon Jun 20 11:01:25 GMT 2022","9993","test","test_conduit","TestConduit","","","test_serial_data_upload",""
"passed","Mon Jun 20 11:00:34 GMT 2022","Mon Jun 20 11:00:36 GMT 2022","2049","test","test_conduit","TestConduit","","","test_cookie",""
"passed","Mon Jun 20 11:00:22 GMT 2022","Mon Jun 20 11:00:24 GMT 2022","2301","test","test_conduit","TestConduit","","","test_registration",""
"passed","Mon Jun 20 11:01:08 GMT 2022","Mon Jun 20 11:01:12 GMT 2022","3452","test","test_conduit","TestConduit","","","test_listing_data",""
